old_path,new_path,status,reason
/best-postnatal-care-service-in-thane,,410,"best-service-in-city: city 'thane' outside footprint"
/best-postnatal-care-service-in-thiruvananthapuram,,410,"best-service-in-city: city 'thiruvananthapuram' outside footprint"
/best-postnatal-care-service-in-vadodara,,410,"best-service-in-city: city 'vadodara' outside footprint"
/best-postnatal-care-service-in-varanasi,,410,"best-service-in-city: city 'varanasi' outside footprint"
/best-postnatal-care-service-in-vijayawada,,410,"best-service-in-city: city 'vijayawada' outside footprint"
/best-postnatal-care-service-in-visakhapatnam,,410,"best-service-in-city: city 'visakhapatnam' outside footprint"
/blog-elderly-care-at-home-guide,/blog/elderly-care-at-home-guide,301,"flat legacy blog → /blog/*"
/blog-find-reliable-maid-delhi,/blog/find-reliable-maid-delhi,301,"flat legacy blog → /blog/*"
/blog-maid-vs-cook-vs-nanny,/blog/maid-vs-cook-vs-nanny,301,"flat legacy blog → /blog/*"
/bookings,/app/bookings,301,"SPA moved under /app"
/cities,/,301,"cities index → home city grid"
/cities/agra,,410,"city hub outside footprint"
/cities/ahmedabad,,410,"city hub outside footprint"
/cities/bangalore,/bangalore,301,"city hub moved"
/cities/bhopal,,410,"city hub outside footprint"
/cities/bhubaneswar,,410,"city hub outside footprint"
/cities/chandigarh,,410,"city hub outside footprint"
/cities/chennai,,410,"city hub outside footprint"
/cities/coimbatore,,410,"city hub outside footprint"
/cities/dehradun,,410,"city hub outside footprint"
/cities/delhi,/delhi,301,"city hub moved"
/cities/faridabad,,410,"city hub outside footprint"
/cities/ghaziabad,,410,"city hub outside footprint"
/cities/gurugram,/gurgaon,301,"city hub moved"
/cities/guwahati,,410,"city hub outside footprint"
/cities/hyderabad,,410,"city hub outside footprint"
/cities/indore,,410,"city hub outside footprint"
/cities/jaipur,,410,"city hub outside footprint"
/cities/jodhpur,,410,"city hub outside footprint"
/cities/kanpur,,410,"city hub outside footprint"
/cities/kochi,,410,"city hub outside footprint"
/cities/kolkata,,410,"city hub outside footprint"
/cities/lucknow,,410,"city hub outside footprint"
/cities/ludhiana,,410,"city hub outside footprint"
/cities/madurai,,410,"city hub outside footprint"
/cities/mangalore,/mangalore,301,"city hub moved"
/cities/mumbai,/mumbai,301,"city hub moved"
/cities/mysore,,410,"city hub outside footprint"
/cities/nagpur,,410,"city hub outside footprint"
/cities/nashik,,410,"city hub outside footprint"
/cities/navi-mumbai,/mumbai,301,"city hub moved"
/cities/noida,/noida,301,"city hub moved"
/cities/patna,,410,"city hub outside footprint"
/cities/pune,/pune,301,"city hub moved"
/cities/raipur,,410,"city hub outside footprint"
/cities/ranchi,,410,"city hub outside footprint"
/cities/surat,,410,"city hub outside footprint"
/cities/thane,,410,"city hub outside footprint"
/cities/thiruvananthapuram,,410,"city hub outside footprint"
/cities/vadodara,,410,"city hub outside footprint"
/cities/varanasi,,410,"city hub outside footprint"
/cities/vijayawada,,410,"city hub outside footprint"
/cities/visakhapatnam,,410,"city hub outside footprint"
/contact-us,/contact,301,"trust page rename"
/cook-service,/services/cook,301,"service hub"
/cook-service-in-aashiyana-lucknow,,410,"locality page in out-of-footprint city 'lucknow'"
/cook-service-in-ab-road-indore,,410,"locality page in out-of-footprint city 'indore'"
/cook-service-in-adajan-surat,,410,"locality page in out-of-footprint city 'surat'"
/cook-service-in-adyar-chennai,,410,"locality page in out-of-footprint city 'chennai'"
/cook-service-in-agra,,410,"service-in-city: city 'agra' outside footprint"
/cook-service-in-ahinsa-khand-ghaziabad,,410,"locality page in out-of-footprint city 'ghaziabad'"
/cook-service-in-ahmedabad,,410,"service-in-city: city 'ahmedabad' outside footprint"
/cook-service-in-airoli-navi-mumbai,/mumbai/airoli/cook,301,"service×locality"
/cook-service-in-akota-vadodara,,410,"locality page in out-of-footprint city 'vadodara'"
/cook-service-in-alambagh-lucknow,,410,"locality page in out-of-footprint city 'lucknow'"
/cook-service-in-aliganj-lucknow,,410,"locality page in out-of-footprint city 'lucknow'"
/cook-service-in-alipore-kolkata,,410,"locality page in out-of-footprint city 'kolkata'"
/cook-service-in-alkapuri-vadodara,,410,"locality page in out-of-footprint city 'vadodara'"
/cook-service-in-althan-surat,,410,"locality page in out-of-footprint city 'surat'"
/cook-service-in-aluva-kochi,,410,"locality page in out-of-footprint city 'kochi'"
/cook-service-in-amanaka-raipur,,410,"locality page in out-of-footprint city 'raipur'"
/cook-service-in-ambattur-chennai,,410,"locality page in out-of-footprint city 'chennai'"
/cook-service-in-ambawadi-ahmedabad,,410,"locality page in out-of-footprint city 'ahmedabad'"
/cook-service-in-ameerpet-hyderabad,,410,"locality page in out-of-footprint city 'hyderabad'"
/cook-service-in-amity-area-noida,/services/cook/noida,301,"unmatched locality → service×city (ASSUMPTIONS #5)"
/cook-service-in-andheri-mumbai,/mumbai/andheri/cook,301,"service×locality"
/cook-service-in-anisabad-patna,,410,"locality page in out-of-footprint city 'patna'"
/cook-service-in-anna-nagar-chennai,,410,"locality page in out-of-footprint city 'chennai'"
/cook-service-in-anna-nagar-madurai,,410,"locality page in out-of-footprint city 'madurai'"
/cook-service-in-arapalayam-madurai,,410,"locality page in out-of-footprint city 'madurai'"
/cook-service-in-arera-colony-bhopal,,410,"locality page in out-of-footprint city 'bhopal'"
/cook-service-in-ashok-nagar-ranchi,,410,"locality page in out-of-footprint city 'ranchi'"
/cook-service-in-athwa-surat,,410,"locality page in out-of-footprint city 'surat'"
/cook-service-in-attapur-hyderabad,,410,"locality page in out-of-footprint city 'hyderabad'"
/cook-service-in-attavar-mangalore,/mangalore/attavar/cook,301,"service×locality"
/cook-service-in-aundh-pune,/pune/aundh/cook,301,"service×locality"
/cook-service-in-auto-nagar-vijayawada,,410,"locality page in out-of-footprint city 'vijayawada'"
/cook-service-in-avadi-chennai,,410,"locality page in out-of-footprint city 'chennai'"
